,INSEE_COM,PrixMoyen_M2_2223,Prixm2Moyen_2022,Prixm2Moyen_2023,loyer_apparts,loyer_maisons,R2appart,R2maison,Loyer_annuel_apparts,Loyer_annuel_maisons,Rendement_locatif_apparts,Rendement_locatif_maisons,INSEE_DEP,NOM_COM_M,POPULATION
0,09001,1190.0,1214.5,1092.0,8.09239651320027,8.10907916123189,"0,818083974152368","0,5261364426342",97.10875815840323,97.30894993478267,8.16039984524397,8.177222683595183,09,Aigues-Juntes,60
1,09002,1850.6153846153843,1893.75,1781.6,7.8405536623608,6.55154285869723,"0,684062129800163","0,612429932898961",94.0866439483296,78.61851430436676,5.084073369890618,4.248236287125978,09,Aigues-Vives,650
2,09003,1241.3571428571397,1156.28571428571,1326.42857142857,8.83138047715341,6.55154285869723,"0,660491209864879","0,612429932898961",105.97656572584091,78.61851430436676,8.537153577086004,6.33327119086908,09,L'Aiguillon,382
3,09004,860.0,1093.0,510.5,8.83138047715341,7.34687306232167,"0,660491209864879","0,687306582108781",105.97656572584091,88.16247674786004,12.322856479748944,10.251450784634889,09,Albiès,122
4,09005,1545.083333333331,1385.2,1659.28571428571,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,6.018135307136479,5.287598996281863,09,Aleu,134
5,09008,2234.9999999999973,1800.5,2483.28571428571,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,4.160411884027496,3.655383034677927,09,Alos,117
6,09009,1323.5,1431.75,1107.0,8.54699875743156,6.6279770632297,"0,769838407411312","0,621388463484879",102.56398508917871,79.5357247587564,7.74945108342869,6.009499415093042,09,Alzen,270
7,09011,1554.0,1150.0,2362.0,7.99999498549017,7.24510605850142,"0,701637250926066","0,690209572235891",95.99993982588204,86.94127270201705,6.177602305397815,5.59467649305129,09,Antras,75
8,09014,2199.571428571427,1834.33333333333,2473.5,7.99999498549017,6.80815090208763,"0,701637250926066","0,641464989872241",95.99993982588204,81.69781082505156,4.3644838525763126,3.7142604129074575,09,Argein,199
9,09015,1593.625,1503.75,1863.25,8.54699875743156,7.68000584930767,"0,769838407411312","0,687306582108781",102.56398508917871,92.16007019169204,6.435892075562238,5.783046211730618,09,Arignac,739
10,09016,1350.857142857143,1479.2,1030.0,8.54699875743156,6.53527258180149,"0,769838407411312","0,666622064703731",102.56398508917871,78.42327098161788,7.592511586550877,5.805445186879496,09,Arnave,222
