INSEE_COM;PrixMoyen_M2_2223;Prixm2Moyen_2022;Prixm2Moyen_2023;loyer_apparts;loyer_maisons;Rendement_locatif_apparts;Rendement_locatif_maisons
31177;1404.25;1190.5;1618.0;7.42;7.15;6.34;6.11
31178;1595.25;1169.5;2021.0;8.32;8.1;6.26;6.09
31179;2102.7;1984.0;2153.57;8.81;7.61;5.03;4.35
31181;2428.0;2302.16;2578.04;9.18;9.87;4.54;4.88
31182;2751.45;2794.24;2706.65;11.11;10.05;4.85;4.38
31183;1690.0;1726.0;1672.0;8.75;7.55;6.21;5.36
31184;4003.62;4170.08;3814.45;11.85;10.94;3.55;3.28
31186;2876.27;2893.52;2849.24;11.32;10.22;4.72;4.26
31187;2838.44;2830.31;2848.8;10.75;10.08;4.55;4.26
31188;2845.6;2885.23;2803.07;8.77;10.25;3.7;4.32
31189;1453.33;1578.0;1391.0;8.2;8.49;6.77;7.01
31190;1329.72;1069.6;1429.77;7.75;7.15;6.99;6.45
31191;1521.0;1714.17;941.5;8.0;7.25;6.31;5.72
31192;2776.78;2161.33;3392.22;10.73;9.51;4.64;4.11
31193;1697.53;1756.81;1630.52;8.24;8.1;5.83;5.72
31194;1757.75;1720.67;1869.0;10.2;8.64;6.96;5.9
31197;1483.4;1316.43;1873.0;9.13;7.22;7.39;5.84
31199;1797.42;1550.4;1973.86;7.42;7.15;4.96;4.77
31202;2569.57;2547.15;2602.67;9.83;10.27;4.59;4.79
31203;2865.27;2989.61;2700.4;11.45;10.59;4.8;4.44
31205;2735.81;2750.98;2716.95;11.24;10.06;4.93;4.41
31206;1584.4;1489.67;1661.91;9.4;6.63;7.12;5.02
31207;1107.37;1164.83;935.0;7.42;7.22;8.04;7.82
31208;1736.3;2072.8;1399.8;8.0;7.25;5.53;5.01
31210;2324.97;2249.83;2453.79;9.33;9.17;4.82;4.73
31211;2876.29;2952.8;2685.0;11.01;10.18;4.59;4.25
31212;3420.12;3542.74;3031.83;10.81;10.69;3.79;3.75
31213;2102.4;2064.5;2127.67;8.11;7.15;4.63;4.08
31215;3135.33;3249.5;2222.0;9.8;10.17;3.75;3.89
31216;2580.5;2559.0;2623.5;10.96;9.8;5.1;4.56
31218;1173.0;611.0;1454.0;8.9;7.22;9.11;7.39
31219;2426.0;2319.43;2674.67;9.18;8.9;4.54;4.4
31220;2016.58;2033.9;1930.0;7.6;7.96;4.52;4.74
31221;1725.77;1657.2;1862.9;8.11;7.15;5.64;4.97
31224;1248.71;1248.29;1249.11;8.78;7.22;8.43;6.94
31226;1570.33;1211.0;2289.0;8.09;7.59;6.18;5.8
31227;3793.11;3849.25;3748.2;11.7;10.38;3.7;3.28
31228;2894.0;2837.3;2970.55;10.96;11.61;4.54;4.82
31229;2215.45;2295.71;1942.6;8.32;8.1;4.51;4.39
31230;2955.47;3010.0;2893.45;10.85;10.5;4.4;4.26
31231;2604.62;2598.0;2611.25;9.18;8.82;4.23;4.06
31232;2463.74;2266.93;2516.22;9.94;9.89;4.84;4.82
31233;2667.19;2562.78;2801.43;9.48;8.82;4.26;3.97
31234;2005.2;1791.5;2147.67;9.83;9.57;5.88;5.73
31236;1201.38;957.5;1282.67;8.0;7.25;7.99;7.24
31237;991.73;1056.38;819.33;8.0;7.25;9.68;8.77
31238;1341.12;1269.0;1514.2;8.9;7.22;7.97;6.46
31239;1367.13;1292.1;1452.89;8.22;8.1;7.22;7.11
31240;2729.57;2866.8;2386.5;10.73;9.51;4.72;4.18
31241;1132.0;1109.67;1148.75;8.65;7.22;9.17;7.65
31242;2790.0;3030.0;2550.0;8.47;8.42;3.64;3.62
31243;2083.0;2354.0;1947.5;8.93;7.61;5.14;4.39
31244;1919.17;1920.2;1914.0;8.65;7.15;5.41;4.47
31245;1410.5;1683.2;1137.8;8.65;7.25;7.36;6.16
31246;1450.82;1356.9;1585.0;8.75;7.55;7.24;6.25
31247;1385.07;1404.42;1362.95;7.42;7.22;6.43;6.25
31248;2897.72;2950.88;2811.64;11.2;10.2;4.64;4.23
31249;2597.77;2662.61;2306.0;10.73;9.51;4.96;4.39
31250;2202.39;2171.2;2241.38;9.3;8.1;5.07;4.41
31251;1133.5;1084.33;1281.0;8.2;8.1;8.68;8.57
31252;2851.24;2823.15;2896.88;11.01;10.18;4.64;4.29
31253;2576.28;2591.0;2551.96;10.91;9.66;5.08;4.5
31254;3322.86;3423.07;3177.55;12.62;11.59;4.56;4.18
31255;1564.0;1635.2;1208.0;7.42;7.22;5.7;5.54
31258;2105.83;1994.4;2663.0;9.18;7.96;5.23;4.54
31259;3473.47;3640.84;3299.12;11.89;9.81;4.11;3.39
31260;1323.0;1277.0;1369.0;8.75;7.55;7.94;6.85
31261;2408.56;2499.54;2310.0;9.3;8.9;4.63;4.43
31262;2279.87;2647.22;1728.83;9.33;7.18;4.91;3.78
31263;2691.73;2667.3;2710.05;9.48;8.82;4.23;3.93
31264;2457.56;2475.5;2421.67;9.18;8.82;4.48;4.31
31265;1864.86;2148.0;1157.0;7.02;8.38;4.52;5.4
31266;1953.5;2306.0;1836.0;9.58;8.49;5.89;5.21
31268;1361.0;1372.5;1338.0;8.75;7.55;7.71;6.66
31269;2442.27;2226.93;2857.57;9.77;9.66;4.8;4.75
31270;1810.12;1945.75;1674.5;8.75;7.55;5.8;5.01
31271;2924.9;2956.48;2893.33;11.49;10.19;4.71;4.18
31273;3377.28;3543.7;3210.87;10.81;10.35;3.84;3.68
31275;1834.33;2400.0;1551.5;8.61;8.38;5.63;5.49
31276;1422.82;1376.83;1478.0;8.9;7.22;7.51;6.09
31277;2766.76;2704.69;2814.05;10.6;9.57;4.6;4.15
31278;2282.86;1908.25;2782.33;8.9;7.55;4.68;3.97
31279;2822.67;3917.5;633.0;9.4;7.59;4.0;3.23
31280;1721.92;1741.18;1616.0;9.18;7.96;6.4;5.55
31281;2035.71;1986.18;2112.27;8.61;8.95;5.07;5.28
31282;2829.81;2701.52;2982.77;11.64;10.66;4.94;4.52
31283;2193.0;2083.0;2229.67;9.3;8.49;5.09;4.64
31284;3446.1;3569.0;3357.33;11.85;11.59;4.13;4.03
31285;3220.88;3150.6;3250.17;9.8;10.17;3.65;3.79
31286;1999.87;1974.9;2049.8;9.18;8.9;5.51;5.34
31287;2492.47;2507.39;2477.22;10.54;9.89;5.07;4.76
31288;2449.25;2869.5;2029.0;9.68;8.46;4.74;4.15
31291;2764.88;2782.36;2739.99;10.86;10.6;4.72;4.6
31293;3034.47;2854.37;3255.74;11.32;9.76;4.48;3.86
31294;1337.67;1203.0;1607.0;8.75;7.25;7.85;6.5
31296;1440.0;2354.0;526.0;8.75;7.55;7.29;6.29
31297;2668.18;2762.76;2535.19;9.91;9.16;4.45;4.12
31299;2580.02;2582.74;2575.5;10.71;9.59;4.98;4.46
31300;1282.17;989.0;1428.75;7.42;7.55;6.95;7.07
31301;1781.5;1656.0;1907.0;7.99;8.1;5.38;5.46
31302;1706.33;1625.5;1868.0;8.75;7.22;6.15;5.08
31303;2282.04;2251.56;2326.16;9.3;9.84;4.89;5.18
31304;2640.11;3004.2;2185.0;10.2;8.64;4.64;3.93
31305;1078.0;958.67;1197.33;9.13;7.22;10.16;8.04
31306;2615.88;962.0;3608.2;7.42;7.22;3.41;3.31
31308;749.0;741.0;765.0;7.42;7.22;11.89;11.57
31309;1687.11;1843.67;1374.0;8.32;8.1;5.92;5.76
31310;2115.83;2034.5;2278.5;9.33;7.61;5.29;4.32
31311;2933.74;2782.09;3142.25;9.68;8.46;3.96;3.46
31313;1775.71;1930.75;1569.0;7.42;7.25;5.02;4.9
31314;1444.9;1467.57;1392.0;8.75;6.84;7.27;5.68
31315;1310.63;1316.45;1305.69;8.0;7.25;7.32;6.63
31316;1447.44;1361.0;1533.89;8.65;7.15;7.17;5.93
31317;2196.64;1999.38;2722.67;8.32;8.9;4.54;4.86
31318;1566.5;1953.67;1334.2;8.24;7.04;6.31;5.39
31319;2271.25;2368.33;1980.0;9.4;7.59;4.97;4.01
31320;2681.32;2645.75;2742.29;9.3;8.82;4.16;3.95
31323;1416.71;1649.4;835.0;8.9;7.22;7.54;6.11
31324;1725.05;1886.16;1534.11;9.02;7.04;6.27;4.9
31327;1941.57;1934.0;1951.67;8.24;7.25;5.09;4.48
31328;2671.0;2834.22;1202.0;10.73;9.51;4.82;4.27
31330;2117.17;1447.0;2251.2;9.18;8.82;5.2;5.0
31331;2989.71;3825.33;2363.0;10.97;9.51;4.4;3.82
31332;2337.75;2456.5;2219.0;9.48;9.17;4.86;4.71
31334;2602.5;2585.27;2629.57;9.48;9.35;4.37;4.31
31335;2207.0;2250.0;2185.5;8.47;8.42;4.61;4.58
31336;1647.78;1469.36;1925.33;8.0;7.25;5.83;5.28
31337;1537.27;1666.12;1193.67;7.75;6.81;6.05;5.31
31338;2651.75;2782.0;2261.0;10.81;9.57;4.89;4.33
31339;2532.8;2171.75;3977.0;9.69;9.79;4.59;4.64
31340;6856.0;3890.33;11304.5;11.81;11.43;2.07;2.0
31341;2657.77;2713.77;1969.86;10.48;9.94;4.73;4.49
31342;1821.6;1658.5;2474.0;8.65;7.25;5.7;4.77
31344;1066.5;1064.44;1067.92;8.0;7.55;9.0;8.5
31345;2429.46;2395.07;2478.32;9.48;8.82;4.68;4.36
31346;2653.85;2557.43;2878.83;8.17;8.46;3.69;3.83
31348;1007.67;1289.0;445.0;7.42;7.22;8.84;8.6
31349;1971.71;1782.8;2444.0;8.75;7.04;5.32;4.28
31350;1846.5;2169.0;1201.5;8.32;8.1;5.41;5.26
31351;2725.16;2738.07;2707.88;11.24;10.2;4.95;4.49
31352;8735.67;10900.0;4407.0;9.8;10.69;1.35;1.47
31355;4098.14;4078.53;4140.14;11.3;12.06;3.31;3.53
31356;2954.28;2922.5;2988.71;9.83;8.95;3.99;3.64
31357;1525.64;1711.33;690.0;8.0;7.25;6.29;5.7
31358;3039.61;3003.25;3085.31;11.1;10.92;4.38;4.31
31360;2558.96;2433.27;2651.13;8.65;7.15;4.05;3.35
31361;2329.0;2077.0;2581.0;9.18;8.82;4.73;4.54
31362;2310.2;2696.0;2053.0;8.09;7.04;4.2;3.66
31363;1819.67;1609.0;1861.8;7.99;8.1;5.27;5.34
31364;2958.24;3102.5;2789.1;10.81;10.16;4.39;4.12
31365;1494.46;1815.75;980.4;8.24;7.04;6.62;5.65
31366;3039.24;3114.2;3008.0;11.11;10.37;4.39;4.09
31368;2746.33;3053.0;2593.0;9.33;9.17;4.08;4.01
31369;1752.0;1460.0;2044.0;7.42;7.22;5.08;4.94
31371;1603.4;1562.75;1766.0;8.81;7.61;6.59;5.7
31372;1221.21;1185.0;1269.5;8.75;7.55;8.6;7.42
31373;2172.5;2481.0;1864.0;8.32;8.1;4.6;4.47
31374;2324.05;1720.36;3154.12;10.73;9.51;5.54;4.91
31375;1677.94;1727.6;1625.85;9.03;7.52;6.46;5.38
31376;1475.2;1546.17;1368.75;8.75;7.25;7.12;5.89
31377;2567.27;2800.0;2288.0;9.33;9.17;4.36;4.29
31378;1216.0;1603.0;1022.5;8.75;8.1;8.63;7.99
31379;1614.0;1771.5;1456.5;9.18;8.82;6.82;6.56
31380;2548.33;2695.0;1375.0;7.6;9.17;3.58;4.32
31381;2790.42;2965.29;2592.23;10.73;9.51;4.61;4.09
31383;2975.25;3108.62;2817.64;10.81;9.8;4.36;3.95
31384;3290.27;3314.75;3261.47;10.73;9.51;3.91;3.47
31385;1375.29;1507.0;1046.0;7.99;6.84;6.97;5.97
31386;1788.56;1635.4;1980.0;8.75;8.1;5.87;5.43
31387;2249.75;3014.0;1995.0;8.24;8.1;4.4;4.32
31388;3613.25;3548.0;3635.0;9.8;10.17;3.26;3.38
31389;3267.16;3246.12;3291.89;11.79;11.2;4.33;4.11
31390;1213.58;1238.77;1181.04;8.74;7.22;8.64;7.14
31391;1724.62;1789.89;1577.75;8.75;7.55;6.09;5.25
31394;1891.25;1195.0;2587.5;8.11;7.15;5.15;4.54
31395;2443.51;2531.32;2334.68;11.5;10.23;5.65;5.03
31396;1959.01;2010.19;1896.4;8.77;9.61;5.37;5.89
31398;1381.62;1567.0;825.5;7.99;7.22;6.94;6.27
31399;2399.27;2376.24;2427.03;9.18;10.33;4.59;5.17
31401;2586.67;2735.0;2438.33;10.73;9.51;4.98;4.41
31402;3018.53;2785.17;3174.11;10.97;10.94;4.36;4.35
31403;2686.86;2514.1;2830.83;9.74;9.43;4.35;4.21
31405;1063.25;878.5;1617.5;8.65;7.15;9.76;8.07
31406;1658.33;1529.11;1755.25;8.75;7.04;6.33;5.09
31407;2593.82;2527.88;2695.73;10.81;9.8;5.0;4.53
31408;917.5;590.0;1245.0;7.42;7.22;9.71;9.44
31409;3338.23;3278.73;3437.39;11.53;11.55;4.15;4.15
31410;2940.12;2860.79;3045.4;11.29;10.68;4.61;4.36
31411;3361.82;3574.43;2989.75;12.25;11.45;4.37;4.09
31412;1787.71;1788.5;1786.67;8.32;6.84;5.58;4.59
31413;2366.12;2329.69;2484.5;8.61;8.38;4.36;4.25
31415;2160.75;1635.5;2686.0;8.75;8.1;4.86;4.5
31416;2191.71;2261.6;2017.0;9.3;8.9;5.09;4.87
31417;3143.97;3128.91;3163.12;11.41;10.81;4.36;4.13
31418;4158.39;4456.27;3885.33;12.82;12.06;3.7;3.48
31419;2128.6;1858.33;2534.0;8.2;8.1;4.62;4.57
31420;2907.71;3127.3;2594.0;11.52;9.81;4.75;4.05
31421;2721.99;2799.28;2609.74;11.52;10.37;5.08;4.57
31423;2000.67;2249.0;1504.0;9.3;8.49;5.58;5.09
31424;3117.34;3131.16;3100.19;11.51;10.7;4.43;4.12
31425;1746.69;1571.25;1805.17;8.24;7.59;5.66;5.22
31426;1327.56;1526.2;996.5;8.9;7.22;8.05;6.53
31427;1276.61;1308.0;1227.78;8.75;7.55;8.22;7.1
31428;2629.75;2813.5;2446.0;8.2;8.1;3.74;3.7
31429;3272.9;3358.58;3144.38;11.81;10.37;4.33;3.8
31430;1484.0;1417.5;1583.75;8.9;7.22;7.2;5.84
31431;1508.82;1490.6;1524.0;8.65;7.25;6.88;5.76
31432;2140.5;1567.0;2714.0;8.47;8.42;4.75;4.72
31433;2968.31;3038.05;2884.45;12.22;10.9;4.94;4.41
31435;2577.33;2430.33;2724.33;9.77;9.35;4.55;4.35
31436;1855.25;2601.0;1606.67;8.32;8.1;5.38;5.24
31439;3859.67;3685.5;4208.0;10.97;10.94;3.41;3.4
31441;2719.25;3147.0;2291.5;10.2;8.64;4.5;3.81
31442;2177.73;1913.33;2354.0;9.18;8.82;5.06;4.86
31443;1283.42;1758.5;1188.4;7.99;6.84;7.47;6.4
31444;2537.71;3076.5;1819.33;8.99;8.38;4.25;3.96
31445;3442.01;3337.12;3642.9;12.57;11.89;4.38;4.14
31446;3135.87;3093.12;3195.41;12.64;11.18;4.84;4.28
31447;897.0;996.5;698.0;8.65;7.25;11.57;9.69
31448;3440.36;3870.6;3081.83;11.81;10.38;4.12;3.62
31449;1662.67;1940.0;1524.0;7.42;7.55;5.36;5.45
31450;2409.82;2440.25;2328.67;9.33;9.17;4.65;4.57
31451;1958.22;1993.11;1921.51;8.53;8.14;5.23;4.99
31454;2085.96;2064.87;2113.09;9.23;9.9;5.31;5.69
31455;1885.27;1972.34;1714.75;9.18;7.59;5.84;4.83
31456;1056.33;1138.0;1015.5;9.3;8.1;10.56;9.2
31457;1422.04;1385.8;1482.44;8.75;7.25;7.38;6.11
31458;2931.05;2847.75;3018.37;11.56;9.87;4.73;4.04
31459;3063.25;2939.73;3335.0;10.96;9.27;4.29;3.63
31460;2816.26;2839.14;2783.86;11.02;9.73;4.7;4.15
31461;1417.0;1175.5;1900.0;8.0;7.55;6.77;6.39
31462;3072.82;3073.51;3071.73;12.14;10.69;4.74;4.18
31463;1694.29;1706.2;1664.5;8.81;7.61;6.24;5.39
31464;2603.0;2040.2;4010.0;9.58;9.35;4.42;4.31
31465;1616.0;1524.0;1708.0;8.11;8.42;6.03;6.26
31466;2733.6;2649.0;2830.29;8.77;9.33;3.85;4.1
31467;3017.08;3032.87;2992.38;11.07;10.33;4.4;4.11
31470;1720.0;1657.29;1845.43;8.11;7.15;5.66;4.99
31471;1181.26;1101.79;1370.0;8.65;7.15;8.78;7.26
31472;1895.67;1965.0;1826.33;9.13;7.15;5.78;4.52
31473;1717.09;1666.44;1759.74;8.99;8.38;6.28;5.86
31474;1431.6;1463.5;1304.0;9.18;7.59;7.69;6.36
31475;2440.68;2419.5;2453.57;9.77;9.66;4.81;4.75
31476;2051.21;2211.5;1776.43;8.32;8.9;4.87;5.21
31478;1715.06;1757.25;1650.15;8.93;7.36;6.25;5.15
31480;3542.44;3658.04;3369.06;12.23;10.94;4.14;3.7
31481;2332.03;2544.0;2131.21;9.58;9.35;4.93;4.81
31482;1562.8;1969.33;953.0;8.32;8.1;6.39;6.22
31483;1356.41;1314.54;1405.01;8.64;7.93;7.64;7.02
31484;3020.52;3074.58;2970.62;11.48;10.69;4.56;4.25
31486;2612.98;2662.81;2504.53;9.3;9.35;4.27;4.29
31487;963.0;1034.0;892.0;8.75;7.55;10.9;9.41
31488;3311.11;3273.85;3357.82;12.53;11.24;4.54;4.07
31490;2762.42;2769.57;2752.33;11.05;9.47;4.8;4.11
31491;1783.0;1515.0;2158.2;8.93;7.61;6.01;5.13
31492;2019.57;1867.62;2222.17;9.18;8.9;5.45;5.29
31493;2062.0;1495.0;2345.5;8.75;6.84;5.09;3.98
31495;2349.67;2107.17;2592.17;10.73;9.51;5.48;4.86
31496;2355.0;1460.0;3250.0;9.69;9.79;4.94;4.99
31497;3352.54;3365.06;3341.9;11.65;10.48;4.17;3.75
31498;1968.0;3213.0;723.0;8.9;6.84;5.43;4.17
31499;2520.84;2542.93;2488.17;10.19;9.66;4.85;4.6
31500;2569.18;2281.65;2818.37;8.65;7.15;4.04;3.34
31501;3403.67;3916.33;2891.0;9.8;10.17;3.46;3.58
31502;1510.78;1512.25;1509.6;8.75;6.84;6.95;5.44
31503;1373.08;1426.29;1298.6;8.75;7.55;7.65;6.6
31504;1721.0;1331.5;2500.0;8.75;7.55;6.1;5.26
31505;1605.07;1137.25;1792.2;8.24;7.59;6.16;5.68
31506;3319.75;3334.83;3300.54;12.41;11.35;4.48;4.1
31507;2301.0;2341.13;2236.5;10.04;9.72;5.23;5.07
31509;1400.4;1375.5;1500.0;7.42;7.22;6.36;6.19
31512;3529.0;3646.7;3360.86;11.3;10.94;3.84;3.72
31513;1696.5;930.0;2846.25;8.9;7.22;6.3;5.11
31515;2910.91;3149.67;1836.5;9.74;9.43;4.01;3.89
31516;2742.47;2800.26;2642.64;10.64;9.48;4.66;4.15
31517;2084.28;1899.96;2340.28;10.15;7.96;5.84;4.58
31519;2402.25;2311.5;2493.0;10.97;8.64;5.48;4.32
31520;1978.5;2618.0;1339.0;8.2;8.1;4.98;4.91
31521;1042.5;995.0;1090.0;8.0;7.25;9.21;8.34
31523;1703.4;1707.29;1698.45;8.63;7.25;6.08;5.1
31525;2938.17;2886.33;2990.0;8.32;8.9;3.4;3.63
31526;2924.78;2948.17;2887.19;11.07;10.55;4.54;4.33
31527;2796.0;2288.2;3642.33;10.2;8.64;4.38;3.71
31528;1459.67;1376.0;1501.5;8.75;6.84;7.19;5.63
31529;2032.0;673.0;2711.5;8.32;7.04;4.91;4.16
31531;1577.67;1276.0;1728.5;8.9;7.22;6.77;5.49
31533;2856.77;2871.71;2838.64;11.04;9.81;4.64;4.12
31534;2489.67;2540.2;2237.0;10.2;8.64;4.92;4.17
31535;1301.88;1244.73;1379.82;8.9;7.22;8.21;6.65
31536;1893.8;1946.25;1684.0;8.9;7.55;5.64;4.78
31537;1992.0;2614.0;1370.0;8.75;7.55;5.27;4.55
31538;2042.0;1232.0;2447.0;9.77;8.1;5.74;4.76
31540;3514.75;3196.5;3833.0;10.97;8.64;3.75;2.95
31541;3214.16;3168.49;3269.99;12.15;11.29;4.54;4.21
31542;1168.5;1368.0;969.0;8.9;7.22;9.14;7.41
31544;1170.0;1104.0;1209.6;8.65;7.25;8.87;7.43
31546;2443.33;2326.0;2560.67;10.73;9.17;5.27;4.5
31547;2610.08;2669.71;2532.06;10.86;9.82;4.99;4.51
31548;2242.67;4037.0;1345.5;7.42;8.42;3.97;4.51
31550;1500.08;1488.86;1513.17;8.0;7.25;6.4;5.8
31551;2738.83;2842.14;2594.2;10.73;9.51;4.7;4.17
31552;1539.75;1495.67;1672.0;8.24;7.04;6.42;5.49
31553;2337.25;2253.17;2463.38;9.83;9.57;5.05;4.91
31554;2009.5;994.0;3025.0;8.24;7.25;4.92;4.33
31555;3643.33;3667.19;3611.65;13.48;11.95;4.44;3.94
31556;1759.33;1832.8;1392.0;8.9;7.22;6.07;4.92
31557;3494.2;3471.22;3524.93;12.27;11.39;4.21;3.91
31558;2556.67;2651.33;2367.33;9.33;8.64;4.38;4.06
